0
"(22, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('13.81'), datetime.datetime(2025, 6, 3, 14, 47, 33), Decimal('93.57'), 22)"
"(23, datetime.datetime(2025, 6, 3, 16, 38, 37), Decimal('14.78'), datetime.datetime(2025, 6, 3, 14, 35, 22), Decimal('92.88'), 23)"
"(24, datetime.datetime(2025, 6, 3, 16, 38, 37), Decimal('14.30'), datetime.datetime(2025, 6, 3, 14, 10, 30), Decimal('91.16'), 24)"
"(25, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('13.31'), datetime.datetime(2025, 6, 3, 14, 33, 40), Decimal('92.73'), 25)"
"(26, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('15.20'), datetime.datetime(2025, 6, 3, 13, 51, 21), Decimal('90.32'), 26)"
"(27, datetime.datetime(2025, 6, 3, 16, 38, 37), Decimal('16.79'), datetime.datetime(2025, 6, 3, 13, 49, 2), Decimal('90.29'), 27)"
"(28, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('14.59'), datetime.datetime(2025, 6, 3, 13, 33, 30), Decimal('89.64'), 28)"
"(29, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('16.43'), datetime.datetime(2025, 6, 3, 14, 14, 4), Decimal('91.34'), 29)"
"(30, datetime.datetime(2025, 6, 3, 16, 38, 37), Decimal('16.17'), datetime.datetime(2025, 6, 3, 13, 40, 10), Decimal('89.89'), 30)"
"(31, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('15.79'), datetime.datetime(2025, 6, 3, 13, 15, 17), Decimal('88.37'), 31)"
"(32, datetime.datetime(2025, 6, 3, 16, 38, 37), Decimal('12.38'), datetime.datetime(2025, 6, 3, 14, 18, 52), Decimal('92.23'), 32)"
"(33, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('15.79'), datetime.datetime(2025, 6, 3, 14, 55, 8), Decimal('94.21'), 33)"
"(34, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('12.67'), datetime.datetime(2025, 6, 3, 13, 52, 51), Decimal('90.91'), 34)"
"(35, datetime.datetime(2025, 6, 3, 16, 38, 37), Decimal('16.75'), datetime.datetime(2025, 6, 3, 14, 12, 1), Decimal('91.95'), 35)"
"(36, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('14.86'), datetime.datetime(2025, 6, 3, 13, 19, 28), Decimal('88.41'), 36)"
"(37, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('14.10'), datetime.datetime(2025, 6, 3, 13, 29, 36), Decimal('88.78'), 37)"
"(38, datetime.datetime(2025, 6, 3, 16, 38, 37), Decimal('16.00'), datetime.datetime(2025, 6, 3, 14, 58, 6), Decimal('94.10'), 38)"
"(39, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('16.47'), datetime.datetime(2025, 6, 3, 14, 30, 2), Decimal('92.79'), 39)"
"(40, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('12.83'), datetime.datetime(2025, 6, 3, 14, 38, 45), Decimal('93.41'), 40)"
"(41, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('14.85'), datetime.datetime(2025, 6, 3, 14, 20, 23), Decimal('91.91'), 41)"
"(42, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('16.66'), datetime.datetime(2025, 6, 3, 13, 32, 5), Decimal('88.82'), 42)"
"(43, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('16.99'), datetime.datetime(2025, 6, 3, 13, 8, 3), Decimal('87.47'), 43)"
"(44, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('11.75'), datetime.datetime(2025, 6, 3, 14, 50, 57), Decimal('90.77'), 44)"
"(45, datetime.datetime(2025, 6, 3, 16, 38, 38), Decimal('14.37'), datetime.datetime(2025, 6, 3, 14, 9, 29), Decimal('91.50'), 45)"
"(46, datetime.datetime(2025, 6, 3, 16, 38, 39), Decimal('16.61'), datetime.datetime(2025, 6, 3, 14, 8, 3), Decimal('91.64'), 46)"
"(47, datetime.datetime(2025, 6, 3, 16, 38, 39), Decimal('14.62'), datetime.datetime(2025, 6, 3, 14, 30, 25), Decimal('92.97'), 47)"
